"Modes of travel";"Population";"Margins";"Region characteristics";"ds";"y"
"Total";"Population 6 years or older";"Value";"The Netherlands";"2018";"   218.1"
"Total";"Population 6 years or older";"Value";"The Netherlands";"2019";"   218.8"
"Total";"Population 6 years or older";"Value";"The Netherlands";"2020";"   152.0"
"Total";"Population 6 years or older";"Value";"The Netherlands";"2021";"   168.4"
"Total";"Population 6 years or older";"Value";"The Netherlands";"2022";"   186.9"
"Total";"Population 6 years or older";"Value";"The Netherlands";"2023";"   199.3"
"Total";"Population 6 years or older";"Value";"Noord-Nederland (LD)";"2018";"    25.0"
"Total";"Population 6 years or older";"Value";"Noord-Nederland (LD)";"2019";"    25.1"
"Total";"Population 6 years or older";"Value";"Noord-Nederland (LD)";"2020";"    17.1"
"Total";"Population 6 years or older";"Value";"Noord-Nederland (LD)";"2021";"    19.4"
"Total";"Population 6 years or older";"Value";"Noord-Nederland (LD)";"2022";"    21.6"
"Total";"Population 6 years or older";"Value";"Noord-Nederland (LD)";"2023";"    22.0"
"Total";"Population 6 years or older";"Value";"Oost-Nederland (LD)";"2018";"    49.3"
"Total";"Population 6 years or older";"Value";"Oost-Nederland (LD)";"2019";"    49.8"
"Total";"Population 6 years or older";"Value";"Oost-Nederland (LD)";"2020";"    35.1"
"Total";"Population 6 years or older";"Value";"Oost-Nederland (LD)";"2021";"    38.7"
"Total";"Population 6 years or older";"Value";"Oost-Nederland (LD)";"2022";"    43.1"
"Total";"Population 6 years or older";"Value";"Oost-Nederland (LD)";"2023";"    45.6"
"Total";"Population 6 years or older";"Value";"West-Nederland (LD)";"2018";"    98.7"
"Total";"Population 6 years or older";"Value";"West-Nederland (LD)";"2019";"    99.6"
"Total";"Population 6 years or older";"Value";"West-Nederland (LD)";"2020";"    68.4"
"Total";"Population 6 years or older";"Value";"West-Nederland (LD)";"2021";"    76.1"
"Total";"Population 6 years or older";"Value";"West-Nederland (LD)";"2022";"    82.8"
"Total";"Population 6 years or older";"Value";"West-Nederland (LD)";"2023";"    89.4"
"Total";"Population 6 years or older";"Value";"Zuid-Nederland (LD)";"2018";"    45.1"
"Total";"Population 6 years or older";"Value";"Zuid-Nederland (LD)";"2019";"    44.4"
"Total";"Population 6 years or older";"Value";"Zuid-Nederland (LD)";"2020";"    31.6"
"Total";"Population 6 years or older";"Value";"Zuid-Nederland (LD)";"2021";"    34.1"
"Total";"Population 6 years or older";"Value";"Zuid-Nederland (LD)";"2022";"    39.4"
"Total";"Population 6 years or older";"Value";"Zuid-Nederland (LD)";"2023";"    42.3"
"Total";"Population 6 years or older";"Value";"Groningen (PV)";"2018";"     7.8"
"Total";"Population 6 years or older";"Value";"Groningen (PV)";"2019";"     8.1"
"Total";"Population 6 years or older";"Value";"Groningen (PV)";"2020";"     5.5"
"Total";"Population 6 years or older";"Value";"Groningen (PV)";"2021";"     6.3"
"Total";"Population 6 years or older";"Value";"Groningen (PV)";"2022";"     7.0"
"Total";"Population 6 years or older";"Value";"Groningen (PV)";"2023";"     6.7"
"Total";"Population 6 years or older";"Value";"Fryslân (PV)";"2018";"     9.6"
"Total";"Population 6 years or older";"Value";"Fryslân (PV)";"2019";"    10.0"
"Total";"Population 6 years or older";"Value";"Fryslân (PV)";"2020";"     6.8"
"Total";"Population 6 years or older";"Value";"Fryslân (PV)";"2021";"     7.5"
"Total";"Population 6 years or older";"Value";"Fryslân (PV)";"2022";"     8.5"
"Total";"Population 6 years or older";"Value";"Fryslân (PV)";"2023";"     8.5"
"Total";"Population 6 years or older";"Value";"Drenthe (PV)";"2018";"     7.5"
"Total";"Population 6 years or older";"Value";"Drenthe (PV)";"2019";"     7.0"
"Total";"Population 6 years or older";"Value";"Drenthe (PV)";"2020";"     4.9"
"Total";"Population 6 years or older";"Value";"Drenthe (PV)";"2021";"     5.6"
"Total";"Population 6 years or older";"Value";"Drenthe (PV)";"2022";"     6.1"
"Total";"Population 6 years or older";"Value";"Drenthe (PV)";"2023";"     6.8"
"Total";"Population 6 years or older";"Value";"Overijssel (PV)";"2018";"    15.5"
"Total";"Population 6 years or older";"Value";"Overijssel (PV)";"2019";"    15.7"
"Total";"Population 6 years or older";"Value";"Overijssel (PV)";"2020";"    10.5"
"Total";"Population 6 years or older";"Value";"Overijssel (PV)";"2021";"    11.7"
"Total";"Population 6 years or older";"Value";"Overijssel (PV)";"2022";"    13.3"
"Total";"Population 6 years or older";"Value";"Overijssel (PV)";"2023";"    14.1"
"Total";"Population 6 years or older";"Value";"Flevoland (PV)";"2018";"     6.1"
"Total";"Population 6 years or older";"Value";"Flevoland (PV)";"2019";"     6.1"
"Total";"Population 6 years or older";"Value";"Flevoland (PV)";"2020";"     4.4"
"Total";"Population 6 years or older";"Value";"Flevoland (PV)";"2021";"     4.9"
"Total";"Population 6 years or older";"Value";"Flevoland (PV)";"2022";"     5.4"
"Total";"Population 6 years or older";"Value";"Flevoland (PV)";"2023";"     5.6"
"Total";"Population 6 years or older";"Value";"Gelderland (PV)";"2018";"    27.8"
"Total";"Population 6 years or older";"Value";"Gelderland (PV)";"2019";"    28.0"
"Total";"Population 6 years or older";"Value";"Gelderland (PV)";"2020";"    20.1"
"Total";"Population 6 years or older";"Value";"Gelderland (PV)";"2021";"    22.1"
"Total";"Population 6 years or older";"Value";"Gelderland (PV)";"2022";"    24.4"
"Total";"Population 6 years or older";"Value";"Gelderland (PV)";"2023";"    26.0"
"Total";"Population 6 years or older";"Value";"Utrecht (PV)";"2018";"    16.8"
"Total";"Population 6 years or older";"Value";"Utrecht (PV)";"2019";"    18.8"
"Total";"Population 6 years or older";"Value";"Utrecht (PV)";"2020";"    12.6"
"Total";"Population 6 years or older";"Value";"Utrecht (PV)";"2021";"    13.6"
"Total";"Population 6 years or older";"Value";"Utrecht (PV)";"2022";"    15.2"
"Total";"Population 6 years or older";"Value";"Utrecht (PV)";"2023";"    16.6"
"Total";"Population 6 years or older";"Value";"Noord-Holland (PV)";"2018";"    35.3"
"Total";"Population 6 years or older";"Value";"Noord-Holland (PV)";"2019";"    33.1"
"Total";"Population 6 years or older";"Value";"Noord-Holland (PV)";"2020";"    22.6"
"Total";"Population 6 years or older";"Value";"Noord-Holland (PV)";"2021";"    25.4"
"Total";"Population 6 years or older";"Value";"Noord-Holland (PV)";"2022";"    28.3"
"Total";"Population 6 years or older";"Value";"Noord-Holland (PV)";"2023";"    29.7"
"Total";"Population 6 years or older";"Value";"Zuid-Holland (PV)";"2018";"    42.2"
"Total";"Population 6 years or older";"Value";"Zuid-Holland (PV)";"2019";"    42.7"
"Total";"Population 6 years or older";"Value";"Zuid-Holland (PV)";"2020";"    29.3"
"Total";"Population 6 years or older";"Value";"Zuid-Holland (PV)";"2021";"    32.8"
"Total";"Population 6 years or older";"Value";"Zuid-Holland (PV)";"2022";"    35.0"
"Total";"Population 6 years or older";"Value";"Zuid-Holland (PV)";"2023";"    38.5"
"Total";"Population 6 years or older";"Value";"Zeeland (PV)";"2018";"     4.4"
"Total";"Population 6 years or older";"Value";"Zeeland (PV)";"2019";"     5.0"
"Total";"Population 6 years or older";"Value";"Zeeland (PV)";"2020";"     3.8"
"Total";"Population 6 years or older";"Value";"Zeeland (PV)";"2021";"     4.4"
"Total";"Population 6 years or older";"Value";"Zeeland (PV)";"2022";"     4.4"
"Total";"Population 6 years or older";"Value";"Zeeland (PV)";"2023";"     4.6"
"Total";"Population 6 years or older";"Value";"Noord-Brabant (PV)";"2018";"    32.2"
"Total";"Population 6 years or older";"Value";"Noord-Brabant (PV)";"2019";"    32.0"
"Total";"Population 6 years or older";"Value";"Noord-Brabant (PV)";"2020";"    22.2"
"Total";"Population 6 years or older";"Value";"Noord-Brabant (PV)";"2021";"    24.2"
"Total";"Population 6 years or older";"Value";"Noord-Brabant (PV)";"2022";"    28.2"
"Total";"Population 6 years or older";"Value";"Noord-Brabant (PV)";"2023";"    30.9"
"Total";"Population 6 years or older";"Value";"Limburg (PV)";"2018";"    12.9"
"Total";"Population 6 years or older";"Value";"Limburg (PV)";"2019";"    12.4"
"Total";"Population 6 years or older";"Value";"Limburg (PV)";"2020";"     9.4"
"Total";"Population 6 years or older";"Value";"Limburg (PV)";"2021";"     9.9"
"Total";"Population 6 years or older";"Value";"Limburg (PV)";"2022";"    11.2"
"Total";"Population 6 years or older";"Value";"Limburg (PV)";"2023";"    11.3"
"Total";"Population 6 years or older";"Value";"Extremely urbanised";"2018";"    46.8"
"Total";"Population 6 years or older";"Value";"Extremely urbanised";"2019";"    46.2"
"Total";"Population 6 years or older";"Value";"Extremely urbanised";"2020";"    31.4"
"Total";"Population 6 years or older";"Value";"Extremely urbanised";"2021";"    36.3"
"Total";"Population 6 years or older";"Value";"Extremely urbanised";"2022";"    40.9"
"Total";"Population 6 years or older";"Value";"Extremely urbanised";"2023";"    43.9"
"Total";"Population 6 years or older";"Value";"Strongly urbanised";"2018";"    66.1"
"Total";"Population 6 years or older";"Value";"Strongly urbanised";"2019";"    66.6"
"Total";"Population 6 years or older";"Value";"Strongly urbanised";"2020";"    46.1"
"Total";"Population 6 years or older";"Value";"Strongly urbanised";"2021";"    50.8"
"Total";"Population 6 years or older";"Value";"Strongly urbanised";"2022";"    56.3"
"Total";"Population 6 years or older";"Value";"Strongly urbanised";"2023";"    59.8"
"Total";"Population 6 years or older";"Value";"Moderately urbanised";"2018";"    34.7"
"Total";"Population 6 years or older";"Value";"Moderately urbanised";"2019";"    35.6"
"Total";"Population 6 years or older";"Value";"Moderately urbanised";"2020";"    24.6"
"Total";"Population 6 years or older";"Value";"Moderately urbanised";"2021";"    25.6"
"Total";"Population 6 years or older";"Value";"Moderately urbanised";"2022";"    30.9"
"Total";"Population 6 years or older";"Value";"Moderately urbanised";"2023";"    33.7"
"Total";"Population 6 years or older";"Value";"Hardly urbanised";"2018";"    51.9"
"Total";"Population 6 years or older";"Value";"Hardly urbanised";"2019";"    50.6"
"Total";"Population 6 years or older";"Value";"Hardly urbanised";"2020";"    35.7"
"Total";"Population 6 years or older";"Value";"Hardly urbanised";"2021";"    40.7"
"Total";"Population 6 years or older";"Value";"Hardly urbanised";"2022";"    44.3"
"Total";"Population 6 years or older";"Value";"Hardly urbanised";"2023";"    45.6"
"Total";"Population 6 years or older";"Value";"Not urbanised";"2018";"    18.7"
"Total";"Population 6 years or older";"Value";"Not urbanised";"2019";"    20.0"
"Total";"Population 6 years or older";"Value";"Not urbanised";"2020";"    14.2"
"Total";"Population 6 years or older";"Value";"Not urbanised";"2021";"    14.9"
"Total";"Population 6 years or older";"Value";"Not urbanised";"2022";"    14.6"
"Total";"Population 6 years or older";"Value";"Not urbanised";"2023";"    16.2"
"Passenger car (driver)";"Population 6 years or older";"Value";"The Netherlands";"2018";"   108.8"
"Passenger car (driver)";"Population 6 years or older";"Value";"The Netherlands";"2019";"   108.5"
"Passenger car (driver)";"Population 6 years or older";"Value";"The Netherlands";"2020";"    79.4"
"Passenger car (driver)";"Population 6 years or older";"Value";"The Netherlands";"2021";"    85.6"
"Passenger car (driver)";"Population 6 years or older";"Value";"The Netherlands";"2022";"    92.9"
"Passenger car (driver)";"Population 6 years or older";"Value";"The Netherlands";"2023";"    99.6"
"Passenger car (driver)";"Population 6 years or older";"Value";"Noord-Nederland (LD)";"2018";"    12.5"
"Passenger car (driver)";"Population 6 years or older";"Value";"Noord-Nederland (LD)";"2019";"    12.5"
"Passenger car (driver)";"Population 6 years or older";"Value";"Noord-Nederland (LD)";"2020";"     9.2"
"Passenger car (driver)";"Population 6 years or older";"Value";"Noord-Nederland (LD)";"2021";"     9.8"
"Passenger car (driver)";"Population 6 years or older";"Value";"Noord-Nederland (LD)";"2022";"    11.0"
"Passenger car (driver)";"Population 6 years or older";"Value";"Noord-Nederland (LD)";"2023";"    11.5"
"Passenger car (driver)";"Population 6 years or older";"Value";"Oost-Nederland (LD)";"2018";"    25.9"
"Passenger car (driver)";"Population 6 years or older";"Value";"Oost-Nederland (LD)";"2019";"    25.5"
"Passenger car (driver)";"Population 6 years or older";"Value";"Oost-Nederland (LD)";"2020";"    18.9"
"Passenger car (driver)";"Population 6 years or older";"Value";"Oost-Nederland (LD)";"2021";"    20.2"
"Passenger car (driver)";"Population 6 years or older";"Value";"Oost-Nederland (LD)";"2022";"    21.8"
"Passenger car (driver)";"Population 6 years or older";"Value";"Oost-Nederland (LD)";"2023";"    23.4"
"Passenger car (driver)";"Population 6 years or older";"Value";"West-Nederland (LD)";"2018";"    47.4"
"Passenger car (driver)";"Population 6 years or older";"Value";"West-Nederland (LD)";"2019";"    47.0"
"Passenger car (driver)";"Population 6 years or older";"Value";"West-Nederland (LD)";"2020";"    33.8"
"Passenger car (driver)";"Population 6 years or older";"Value";"West-Nederland (LD)";"2021";"    36.5"
"Passenger car (driver)";"Population 6 years or older";"Value";"West-Nederland (LD)";"2022";"    39.3"
"Passenger car (driver)";"Population 6 years or older";"Value";"West-Nederland (LD)";"2023";"    42.2"
"Passenger car (driver)";"Population 6 years or older";"Value";"Zuid-Nederland (LD)";"2018";"    23.0"
"Passenger car (driver)";"Population 6 years or older";"Value";"Zuid-Nederland (LD)";"2019";"    23.5"
"Passenger car (driver)";"Population 6 years or older";"Value";"Zuid-Nederland (LD)";"2020";"    17.4"
"Passenger car (driver)";"Population 6 years or older";"Value";"Zuid-Nederland (LD)";"2021";"    19.1"
"Passenger car (driver)";"Population 6 years or older";"Value";"Zuid-Nederland (LD)";"2022";"    20.8"
"Passenger car (driver)";"Population 6 years or older";"Value";"Zuid-Nederland (LD)";"2023";"    22.5"
"Passenger car (driver)";"Population 6 years or older";"Value";"Groningen (PV)";"2018";"     3.4"
"Passenger car (driver)";"Population 6 years or older";"Value";"Groningen (PV)";"2019";"     3.8"
"Passenger car (driver)";"Population 6 years or older";"Value";"Groningen (PV)";"2020";"     2.8"
"Passenger car (driver)";"Population 6 years or older";"Value";"Groningen (PV)";"2021";"     3.1"
"Passenger car (driver)";"Population 6 years or older";"Value";"Groningen (PV)";"2022";"     3.4"
"Passenger car (driver)";"Population 6 years or older";"Value";"Groningen (PV)";"2023";"     3.0"
"Passenger car (driver)";"Population 6 years or older";"Value";"Fryslân (PV)";"2018";"     4.9"
"Passenger car (driver)";"Population 6 years or older";"Value";"Fryslân (PV)";"2019";"     5.2"
"Passenger car (driver)";"Population 6 years or older";"Value";"Fryslân (PV)";"2020";"     4.0"
"Passenger car (driver)";"Population 6 years or older";"Value";"Fryslân (PV)";"2021";"     4.0"
"Passenger car (driver)";"Population 6 years or older";"Value";"Fryslân (PV)";"2022";"     4.5"
"Passenger car (driver)";"Population 6 years or older";"Value";"Fryslân (PV)";"2023";"     4.7"
"Passenger car (driver)";"Population 6 years or older";"Value";"Drenthe (PV)";"2018";"     4.2"
"Passenger car (driver)";"Population 6 years or older";"Value";"Drenthe (PV)";"2019";"     3.6"
"Passenger car (driver)";"Population 6 years or older";"Value";"Drenthe (PV)";"2020";"     2.5"
"Passenger car (driver)";"Population 6 years or older";"Value";"Drenthe (PV)";"2021";"     2.7"
"Passenger car (driver)";"Population 6 years or older";"Value";"Drenthe (PV)";"2022";"     3.1"
"Passenger car (driver)";"Population 6 years or older";"Value";"Drenthe (PV)";"2023";"     3.7"
"Passenger car (driver)";"Population 6 years or older";"Value";"Overijssel (PV)";"2018";"     8.0"
"Passenger car (driver)";"Population 6 years or older";"Value";"Overijssel (PV)";"2019";"     7.5"
"Passenger car (driver)";"Population 6 years or older";"Value";"Overijssel (PV)";"2020";"     5.6"
"Passenger car (driver)";"Population 6 years or older";"Value";"Overijssel (PV)";"2021";"     6.3"
"Passenger car (driver)";"Population 6 years or older";"Value";"Overijssel (PV)";"2022";"     6.6"
"Passenger car (driver)";"Population 6 years or older";"Value";"Overijssel (PV)";"2023";"     7.1"
"Passenger car (driver)";"Population 6 years or older";"Value";"Flevoland (PV)";"2018";"     3.2"
"Passenger car (driver)";"Population 6 years or older";"Value";"Flevoland (PV)";"2019";"     3.0"
"Passenger car (driver)";"Population 6 years or older";"Value";"Flevoland (PV)";"2020";"     2.5"
"Passenger car (driver)";"Population 6 years or older";"Value";"Flevoland (PV)";"2021";"     2.5"
"Passenger car (driver)";"Population 6 years or older";"Value";"Flevoland (PV)";"2022";"     2.8"
"Passenger car (driver)";"Population 6 years or older";"Value";"Flevoland (PV)";"2023";"     3.2"
"Passenger car (driver)";"Population 6 years or older";"Value";"Gelderland (PV)";"2018";"    14.6"
"Passenger car (driver)";"Population 6 years or older";"Value";"Gelderland (PV)";"2019";"    15.0"
"Passenger car (driver)";"Population 6 years or older";"Value";"Gelderland (PV)";"2020";"    10.8"
"Passenger car (driver)";"Population 6 years or older";"Value";"Gelderland (PV)";"2021";"    11.3"
"Passenger car (driver)";"Population 6 years or older";"Value";"Gelderland (PV)";"2022";"    12.4"
"Passenger car (driver)";"Population 6 years or older";"Value";"Gelderland (PV)";"2023";"    13.2"
"Passenger car (driver)";"Population 6 years or older";"Value";"Utrecht (PV)";"2018";"     8.3"
"Passenger car (driver)";"Population 6 years or older";"Value";"Utrecht (PV)";"2019";"     9.2"
"Passenger car (driver)";"Population 6 years or older";"Value";"Utrecht (PV)";"2020";"     6.4"
"Passenger car (driver)";"Population 6 years or older";"Value";"Utrecht (PV)";"2021";"     6.6"
"Passenger car (driver)";"Population 6 years or older";"Value";"Utrecht (PV)";"2022";"     7.3"
"Passenger car (driver)";"Population 6 years or older";"Value";"Utrecht (PV)";"2023";"     7.9"
"Passenger car (driver)";"Population 6 years or older";"Value";"Noord-Holland (PV)";"2018";"    16.1"
"Passenger car (driver)";"Population 6 years or older";"Value";"Noord-Holland (PV)";"2019";"    14.9"
"Passenger car (driver)";"Population 6 years or older";"Value";"Noord-Holland (PV)";"2020";"    10.5"
"Passenger car (driver)";"Population 6 years or older";"Value";"Noord-Holland (PV)";"2021";"    12.0"
"Passenger car (driver)";"Population 6 years or older";"Value";"Noord-Holland (PV)";"2022";"    13.0"
"Passenger car (driver)";"Population 6 years or older";"Value";"Noord-Holland (PV)";"2023";"    13.7"
"Passenger car (driver)";"Population 6 years or older";"Value";"Zuid-Holland (PV)";"2018";"    20.5"
"Passenger car (driver)";"Population 6 years or older";"Value";"Zuid-Holland (PV)";"2019";"    20.2"
"Passenger car (driver)";"Population 6 years or older";"Value";"Zuid-Holland (PV)";"2020";"    15.1"
"Passenger car (driver)";"Population 6 years or older";"Value";"Zuid-Holland (PV)";"2021";"    15.5"
"Passenger car (driver)";"Population 6 years or older";"Value";"Zuid-Holland (PV)";"2022";"    16.7"
"Passenger car (driver)";"Population 6 years or older";"Value";"Zuid-Holland (PV)";"2023";"    18.0"
"Passenger car (driver)";"Population 6 years or older";"Value";"Zeeland (PV)";"2018";"     2.4"
"Passenger car (driver)";"Population 6 years or older";"Value";"Zeeland (PV)";"2019";"     2.7"
"Passenger car (driver)";"Population 6 years or older";"Value";"Zeeland (PV)";"2020";"     1.8"
"Passenger car (driver)";"Population 6 years or older";"Value";"Zeeland (PV)";"2021";"     2.4"
"Passenger car (driver)";"Population 6 years or older";"Value";"Zeeland (PV)";"2022";"     2.2"
"Passenger car (driver)";"Population 6 years or older";"Value";"Zeeland (PV)";"2023";"     2.7"
"Passenger car (driver)";"Population 6 years or older";"Value";"Noord-Brabant (PV)";"2018";"    16.7"
"Passenger car (driver)";"Population 6 years or older";"Value";"Noord-Brabant (PV)";"2019";"    17.3"
"Passenger car (driver)";"Population 6 years or older";"Value";"Noord-Brabant (PV)";"2020";"    12.2"
"Passenger car (driver)";"Population 6 years or older";"Value";"Noord-Brabant (PV)";"2021";"    13.7"
"Passenger car (driver)";"Population 6 years or older";"Value";"Noord-Brabant (PV)";"2022";"    14.8"
"Passenger car (driver)";"Population 6 years or older";"Value";"Noord-Brabant (PV)";"2023";"    16.5"
"Passenger car (driver)";"Population 6 years or older";"Value";"Limburg (PV)";"2018";"     6.3"
"Passenger car (driver)";"Population 6 years or older";"Value";"Limburg (PV)";"2019";"     6.2"
"Passenger car (driver)";"Population 6 years or older";"Value";"Limburg (PV)";"2020";"     5.2"
"Passenger car (driver)";"Population 6 years or older";"Value";"Limburg (PV)";"2021";"     5.3"
"Passenger car (driver)";"Population 6 years or older";"Value";"Limburg (PV)";"2022";"     5.9"
"Passenger car (driver)";"Population 6 years or older";"Value";"Limburg (PV)";"2023";"     6.0"
"Passenger car (driver)";"Population 6 years or older";"Value";"Extremely urbanised";"2018";"    19.1"
"Passenger car (driver)";"Population 6 years or older";"Value";"Extremely urbanised";"2019";"    18.5"
"Passenger car (driver)";"Population 6 years or older";"Value";"Extremely urbanised";"2020";"    13.8"
"Passenger car (driver)";"Population 6 years or older";"Value";"Extremely urbanised";"2021";"    15.2"
"Passenger car (driver)";"Population 6 years or older";"Value";"Extremely urbanised";"2022";"    17.1"
"Passenger car (driver)";"Population 6 years or older";"Value";"Extremely urbanised";"2023";"    17.6"
"Passenger car (driver)";"Population 6 years or older";"Value";"Strongly urbanised";"2018";"    33.9"
"Passenger car (driver)";"Population 6 years or older";"Value";"Strongly urbanised";"2019";"    33.0"
"Passenger car (driver)";"Population 6 years or older";"Value";"Strongly urbanised";"2020";"    24.3"
"Passenger car (driver)";"Population 6 years or older";"Value";"Strongly urbanised";"2021";"    26.0"
"Passenger car (driver)";"Population 6 years or older";"Value";"Strongly urbanised";"2022";"    27.7"
"Passenger car (driver)";"Population 6 years or older";"Value";"Strongly urbanised";"2023";"    29.3"
"Passenger car (driver)";"Population 6 years or older";"Value";"Moderately urbanised";"2018";"    17.8"
"Passenger car (driver)";"Population 6 years or older";"Value";"Moderately urbanised";"2019";"    18.6"
"Passenger car (driver)";"Population 6 years or older";"Value";"Moderately urbanised";"2020";"    13.2"
"Passenger car (driver)";"Population 6 years or older";"Value";"Moderately urbanised";"2021";"    13.7"
"Passenger car (driver)";"Population 6 years or older";"Value";"Moderately urbanised";"2022";"    15.9"
"Passenger car (driver)";"Population 6 years or older";"Value";"Moderately urbanised";"2023";"    17.8"
"Passenger car (driver)";"Population 6 years or older";"Value";"Hardly urbanised";"2018";"    27.7"
"Passenger car (driver)";"Population 6 years or older";"Value";"Hardly urbanised";"2019";"    27.2"
"Passenger car (driver)";"Population 6 years or older";"Value";"Hardly urbanised";"2020";"    19.9"
"Passenger car (driver)";"Population 6 years or older";"Value";"Hardly urbanised";"2021";"    22.0"
"Passenger car (driver)";"Population 6 years or older";"Value";"Hardly urbanised";"2022";"    24.0"
"Passenger car (driver)";"Population 6 years or older";"Value";"Hardly urbanised";"2023";"    25.8"
"Passenger car (driver)";"Population 6 years or older";"Value";"Not urbanised";"2018";"    10.2"
"Passenger car (driver)";"Population 6 years or older";"Value";"Not urbanised";"2019";"    11.2"
"Passenger car (driver)";"Population 6 years or older";"Value";"Not urbanised";"2020";"     8.1"
"Passenger car (driver)";"Population 6 years or older";"Value";"Not urbanised";"2021";"     8.7"
"Passenger car (driver)";"Population 6 years or older";"Value";"Not urbanised";"2022";"     8.2"
"Passenger car (driver)";"Population 6 years or older";"Value";"Not urbanised";"2023";"     9.1"
"Passenger car (passenger)";"Population 6 years or older";"Value";"The Netherlands";"2018";"    38.7"
"Passenger car (passenger)";"Population 6 years or older";"Value";"The Netherlands";"2019";"    39.0"
"Passenger car (passenger)";"Population 6 years or older";"Value";"The Netherlands";"2020";"    25.8"
"Passenger car (passenger)";"Population 6 years or older";"Value";"The Netherlands";"2021";"    30.2"
"Passenger car (passenger)";"Population 6 years or older";"Value";"The Netherlands";"2022";"    32.7"
"Passenger car (passenger)";"Population 6 years or older";"Value";"The Netherlands";"2023";"    36.5"
"Passenger car (passenger)";"Population 6 years or older";"Value";"Noord-Nederland (LD)";"2018";"     4.8"
"Passenger car (passenger)";"Population 6 years or older";"Value";"Noord-Nederland (LD)";"2019";"     5.3"
"Passenger car (passenger)";"Population 6 years or older";"Value";"Noord-Nederland (LD)";"2020";"     3.0"
"Passenger car (passenger)";"Population 6 years or older";"Value";"Noord-Nederland (LD)";"2021";"     3.7"
"Passenger car (passenger)";"Population 6 years or older";"Value";"Noord-Nederland (LD)";"2022";"     3.8"
"Passenger car (passenger)";"Population 6 years or older";"Value";"Noord-Nederland (LD)";"2023";"     3.9"
"Passenger car (passenger)";"Population 6 years or older";"Value";"Oost-Nederland (LD)";"2018";"     8.8"
"Passenger car (passenger)";"Population 6 years or older";"Value";"Oost-Nederland (LD)";"2019";"     8.4"
"Passenger car (passenger)";"Population 6 years or older";"Value";"Oost-Nederland (LD)";"2020";"     5.7"
"Passenger car (passenger)";"Population 6 years or older";"Value";"Oost-Nederland (LD)";"2021";"     6.9"
"Passenger car (passenger)";"Population 6 years or older";"Value";"Oost-Nederland (LD)";"2022";"     7.7"
"Passenger car (passenger)";"Population 6 years or older";"Value";"Oost-Nederland (LD)";"2023";"     8.8"
"Passenger car (passenger)";"Population 6 years or older";"Value";"West-Nederland (LD)";"2018";"    17.0"
"Passenger car (passenger)";"Population 6 years or older";"Value";"West-Nederland (LD)";"2019";"    17.3"
"Passenger car (passenger)";"Population 6 years or older";"Value";"West-Nederland (LD)";"2020";"    11.8"
"Passenger car (passenger)";"Population 6 years or older";"Value";"West-Nederland (LD)";"2021";"    14.1"
"Passenger car (passenger)";"Population 6 years or older";"Value";"West-Nederland (LD)";"2022";"    14.6"
"Passenger car (passenger)";"Population 6 years or older";"Value";"West-Nederland (LD)";"2023";"    16.1"
"Passenger car (passenger)";"Population 6 years or older";"Value";"Zuid-Nederland (LD)";"2018";"     8.1"
"Passenger car (passenger)";"Population 6 years or older";"Value";"Zuid-Nederland (LD)";"2019";"     8.0"
"Passenger car (passenger)";"Population 6 years or older";"Value";"Zuid-Nederland (LD)";"2020";"     5.3"
"Passenger car (passenger)";"Population 6 years or older";"Value";"Zuid-Nederland (LD)";"2021";"     5.4"
"Passenger car (passenger)";"Population 6 years or older";"Value";"Zuid-Nederland (LD)";"2022";"     6.7"
"Passenger car (passenger)";"Population 6 years or older";"Value";"Zuid-Nederland (LD)";"2023";"     7.8"
"Passenger car (passenger)";"Population 6 years or older";"Value";"Groningen (PV)";"2018";"     1.6"
"Passenger car (passenger)";"Population 6 years or older";"Value";"Groningen (PV)";"2019";"     1.6"
"Passenger car (passenger)";"Population 6 years or older";"Value";"Groningen (PV)";"2020";"     0.9"
"Passenger car (passenger)";"Population 6 years or older";"Value";"Groningen (PV)";"2021";"     1.2"
"Passenger car (passenger)";"Population 6 years or older";"Value";"Groningen (PV)";"2022";"     1.3"
"Passenger car (passenger)";"Population 6 years or older";"Value";"Groningen (PV)";"2023";"     1.2"
"Passenger car (passenger)";"Population 6 years or older";"Value";"Fryslân (PV)";"2018";"     1.9"
"Passenger car (passenger)";"Population 6 years or older";"Value";"Fryslân (PV)";"2019";"     2.3"
"Passenger car (passenger)";"Population 6 years or older";"Value";"Fryslân (PV)";"2020";"     1.0"
"Passenger car (passenger)";"Population 6 years or older";"Value";"Fryslân (PV)";"2021";"     1.5"
"Passenger car (passenger)";"Population 6 years or older";"Value";"Fryslân (PV)";"2022";"     1.5"
"Passenger car (passenger)";"Population 6 years or older";"Value";"Fryslân (PV)";"2023";"     1.5"
"Passenger car (passenger)";"Population 6 years or older";"Value";"Drenthe (PV)";"2018";"     1.4"
"Passenger car (passenger)";"Population 6 years or older";"Value";"Drenthe (PV)";"2019";"     1.4"
"Passenger car (passenger)";"Population 6 years or older";"Value";"Drenthe (PV)";"2020";"     1.0"
"Passenger car (passenger)";"Population 6 years or older";"Value";"Drenthe (PV)";"2021";"     1.1"
"Passenger car (passenger)";"Population 6 years or older";"Value";"Drenthe (PV)";"2022";"     1.0"
"Passenger car (passenger)";"Population 6 years or older";"Value";"Drenthe (PV)";"2023";"     1.2"
"Passenger car (passenger)";"Population 6 years or older";"Value";"Overijssel (PV)";"2018";"     2.8"
